"filename", "language", "TypeScript", "JavaScript", "XML", "CSS", "SCSS", "comment", "blank", "total"
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/root.reducer.js", "JavaScript", 0, 9, 0, 0, 0, 0, 1, 10
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/root.saga.js", "JavaScript", 0, 6, 0, 0, 0, 0, 2, 8
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/store.js", "JavaScript", 0, 32, 0, 0, 0, 0, 11, 43
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/user/user.action.js", "JavaScript", 0, 30, 0, 0, 0, 7, 14, 51
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/user/user.reducer.js", "JavaScript", 0, 21, 0, 0, 0, 0, 4, 25
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/user/user.saga.js", "JavaScript", 0, 110, 0, 0, 0, 0, 16, 126
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/user/user.selector.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/user/user.types.js", "JavaScript", 0, 14, 0, 0, 0, 0, 1, 15
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/utils/firebase/firebase.utils.jsx", "JavaScript", 0, 105, 0, 0, 0, 0, 26, 131
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/utils/reducer/reducer.utils.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 8, 31
"/Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/utils/stripe/stripe.utils.js", "JavaScript", 0, 4, 0, 0, 0, 0, 1, 5
"Total", "-", 129, 1973, 69, 12, 20, 439, 418, 3060
